date t365 i365 t730 i730 t1095 i1095 t1460 i1460 t1825 i1825 t2555 i2555 t3650 i3650 t4380 i4380 t5475 i5475 t7300 i7300 t10950 i10950
20050330 350 0.04995601544 721 0.05004322296 1085 0.05004580453 1461 0.05030556656 1826 0.05024542067 2557 0.05018534017 3652 0.04997390811 4383 0.04975467681 5479 0.0494302325 7306 0.04868678197 10957 0.04705184942 
20050331 349 0.04974926423 720 0.04974240145 1084 0.04971715516 1461 0.04992844025 1826 0.04986985409 2556 0.04981145374 3652 0.04957159558 4383 0.04938623622 5479 0.04909598348 7305 0.04838830679 10956 0.04675100841 
20050401 348 0.04968842753 719 0.04971294661 1083 0.04969757688 1461 0.05014575183 1826 0.05016484384 2558 0.05018346504 3652 0.05002514108 4385 0.04986539356 5479 0.04960116442 7305 0.04895482518 10958 0.04741382037 
20050404 345 0.04937930985 716 0.04935943585 1080 0.04933000737 1463 0.04974615782 1828 0.04976632794 2557 0.04978636981 3655 0.04962856054 4383 0.04946983629 5481 0.04924052056 7305 0.04866781418 10957 0.04724752525 
20050405 344 0.04953028659 715 0.04949681145 1079 0.04945433477 1462 0.04981560087 1827 0.0498367983 2557 0.04988661629 3654 0.04975814449 4383 0.04959826873 5480 0.04936775906 7307 0.04879311859 10957 0.04732618039 
20050406 343 0.04950668482 714 0.04943678718 1078 0.04939360976 1461 0.04973980048 1826 0.049761387 2561 0.04981091395 3653 0.04968345234 4383 0.04955567673 5479 0.0492552913 7306 0.0486119347 10957 0.04707660626 
20050407 342 0.04907855605 713 0.04892300287 1077 0.04887815137 1461 0.04932621982 1826 0.04937365524 2560 0.04942122804 3652 0.04932088882 4383 0.04919203844 5479 0.04892522374 7305 0.04835317163 10959 0.04685012373 
20050408 341 0.04926360158 712 0.0492162967 1076 0.04923927473 1461 0.049621746 1826 0.04966965411 2559 0.0497739371 3652 0.04972961396 4385 0.04959817275 5479 0.04936257384 7305 0.04882025218 10958 0.04734146076 
20050411 338 0.04917163525 709 0.04915957508 1073 0.04921861368 1464 0.04957071124 1827 0.04959209846 2557 0.0496978104 3654 0.04962391471 4383 0.04949393219 5482 0.04925954522 7305 0.04875590993 10957 0.04727330823 
20050412 337 0.04928385334 708 0.04921297259 1072 0.04923716507 1463 0.04959421018 1826 0.04964315055 2557 0.04974817848 3653 0.04967679434 4383 0.04957808024 5481 0.04937536214 7307 0.04886615864 10957 0.04737745812 
20050413 336 0.04904825366 707 0.04887189509 1071 0.04890073636 1462 0.04924613259 1826 0.0493227977 2557 0.04945510598 3652 0.04944129111 4383 0.04934076414 5480 0.04913630803 7306 0.04858923038 10957 0.04710990582 
20050414 335 0.04904702255 706 0.04887106112 1070 0.04890021305 1461 0.0492194686 1826 0.04924161553 2559 0.04934812166 3652 0.04927861994 4387 0.04914801747 5479 0.04888015912 7305 0.04823363006 10959 0.04678683013 
